pt        CrossSectionRatio   errHigh        errLow         
4.0       1.32993885          0.03439514     0.07905896     
6.0       1.39733887          0.01979184     0.06225955     
7.0       1.41770608          0.03474682     0.05203707     
8.0       1.43897940          0.03042053     0.03852274     
9.0       1.45334909          0.04230776     0.03943882     
10.0      1.46688625          0.02727500     0.02724776     
12.0      1.50104363          0.02475732     0.03120131     
14.0      1.52708119          0.01609510     0.02994233     
16.0      1.55031960          0.01370926     0.02180188     
20.0      1.58440942          0.02280634     0.01302153     
25.0      1.63004814          0.01706053     0.01867579     
30.0      1.66402375          0.02093912     0.01309418     
50.0      1.76953309          0.01990420     0.00409990     
70.0      1.84571573          0.02601722     0.01231512     
100.0     1.93663868          0.03428355     0.01092979     
