pt        CrossSectionRatio   errHigh        errLow         
4.0       0.85549950          0.02909876     0.01029973     
6.0       0.83220647          0.02066292     0.00922702     
7.0       0.82437358          0.01569059     0.00915090     
8.0       0.81974055          0.01223222     0.01762976     
9.0       0.81455326          0.00827557     0.00941568     
10.0      0.80723057          0.01014217     0.00744495     
12.0      0.79864731          0.00901005     0.00477502     
14.0      0.79065830          0.00639474     0.00368458     
16.0      0.78554618          0.00457431     0.00645780     
20.0      0.77361561          0.00492065     0.00597878     
25.0      0.76293339          0.00310646     0.00637652     
30.0      0.75388263          0.00247564     0.00591765     
50.0      0.72796301          0.00229855     0.00705216     
70.0      0.71156816          0.00124140     0.00652514     
100.0     0.69061669          0.00491730     0.00658801     
