pt        CrossSectionRatio   errHigh        errLow         
4.0       1.28224237          0.02945475     0.06590040     
6.0       1.33308420          0.02267327     0.04626844     
7.0       1.35664414          0.02886297     0.04306709     
8.0       1.37330303          0.02526429     0.03699169     
9.0       1.38486070          0.03728359     0.03194172     
10.0      1.39638220          0.02382232     0.02155732     
12.0      1.42581468          0.01971406     0.02682560     
14.0      1.44666427          0.01253921     0.02418643     
16.0      1.46612658          0.01114736     0.01732602     
20.0      1.49392944          0.01913602     0.01027792     
25.0      1.53216819          0.01427074     0.01578037     
30.0      1.55933253          0.01352724     0.00995914     
50.0      1.64591075          0.01625883     0.00475348     
70.0      1.70697435          0.02140395     0.00929400     
100.0     1.78099618          0.02654305     0.00863454     
