# pt_hadr   ratio   error
4    0.983983    0.0386152
6    1.01061    0.0310385
7    1.02041    0.0278763
8    1.02822    0.0249215
9    1.03438    0.0229827
10    1.04002    0.021003
12    1.04795    0.0183846
14    1.05365    0.0162259
16    1.05783    0.0147484
20    1.06439    0.0135913
25    1.06938    0.0140406
30    1.07292    0.0155978
50    1.07895    0.0216825
70    1.08286    0.0258337
100    1.08663    0.0288437
