# pt_hadr   ratio   error
4    0.969924    0.0619322
6    0.982381    0.0438453
7    0.985185    0.0414441
8    0.989558    0.038803
9    0.991974    0.0356487
10    0.99419    0.0310101
12    0.99808    0.0276369
14    1.00159    0.0253528
16    1.00525    0.0231564
20    1.01024    0.0234564
25    1.01569    0.0286727
30    1.02054    0.0349723
50    1.03218    0.0506928
70    1.03905    0.0692029
100    1.04224    0.0766704
