# pt_hadr   ratio   error
4    1.00061    0.045723
6    1.02198    0.0458051
7    1.03012    0.0459152
8    1.03562    0.0460174
9    1.03987    0.0461029
10    1.04391    0.0463019
12    1.04993    0.0466039
14    1.05513    0.0468397
16    1.05894    0.0470165
20    1.06544    0.0475814
25    1.07162    0.0481135
30    1.07536    0.0484687
50    1.07906    0.0486588
70    1.0748    0.0483306
100    1.06021    0.0476961
