pt	RpO	error
4.0	0.9788366373918832	0.04198079155016465
6.0	0.9845874822704987	0.034427259007267494
7.0	0.9852991394763745	0.03231258543665365
8.0	0.988417504270298	0.029252103274207197
9.0	0.989428720469353	0.026847303562948326
10.0	0.9905015051149528	0.025090574589701452
12.0	0.992208133904169	0.022446784054433167
14.0	0.9937908356418119	0.020495197054989367
16.0	0.996245863052926	0.018014047642854563
20.0	0.9984786258806414	0.0149555107740424
25.0	1.0011097526984243	0.011908643456801263
30.0	1.0037042898422763	0.010540600591512801
50.0	1.0097666109184442	0.013243885652838204
70.0	1.0135887370802759	0.01827078273170707
100.0	1.0161717111588242	0.024287975995282683
