pt	RpO	error
4.0	0.8870176237427282	0.0693592031999645
6.0	0.91157269178197	0.057058731526514354
7.0	0.9224274494021941	0.052292557445641076
8.0	0.9294529082933937	0.04908639561247897
9.0	0.9339839884881489	0.04623947626361767
10.0	0.9390139606309554	0.04484013354475742
12.0	0.9504741201683625	0.03996481368866869
14.0	0.9575531243281818	0.03739649119738182
16.0	0.9638519042327154	0.03486971520919285
20.0	0.9720948848790052	0.03220372016420488
25.0	0.981717854204563	0.029158300846659057
30.0	0.9881316733805791	0.027491227358680183
50.0	1.0023718497439227	0.024425885766886368
70.0	1.008254146904203	0.02346780022312388
100.0	1.010866817584964	0.023127772667089364
