pt	RpO	error
4.0	0.9536036190578159	0.043510461629910936
6.0	0.9665863240797589	0.03624826196941243
7.0	0.972304301478804	0.032245817304842446
8.0	0.9757759153629764	0.03022155766871766
9.0	0.9778166110961286	0.029448022769425257
10.0	0.9808223451266017	0.027501624002213572
12.0	0.9854046353021225	0.02316148776042854
14.0	0.9884207511319288	0.020530097805439042
16.0	0.9909204929682078	0.018034857156259358
20.0	0.9939326469923595	0.014927923310586271
25.0	0.9972890384361867	0.01007629513699408
30.0	0.9990165120223137	0.007541767400641262
50.0	1.002958043669797	0.0047772112080316925
70.0	1.0044062791483175	0.008655445720754999
100.0	1.006560521352308	0.013177319259354609
