pt	RpO	error
4.0	0.9838569685044813	0.017696176854141082
6.0	0.9931287569459107	0.015520093191348212
7.0	0.9971796668007133	0.015046192042741862
8.0	0.9994022751318422	0.014298545225981285
9.0	1.0001867293349354	0.014230272383869477
10.0	1.0036386815803464	0.01355301301913504
12.0	1.006703878666274	0.01272595054919979
14.0	1.0093720783955977	0.01215269149782099
16.0	1.0107988802133954	0.01189737079378607
20.0	1.0138562449454966	0.011188810360804505
25.0	1.0169130130092345	0.01068164301645869
30.0	1.0273122782065536	0.01033924343614926
50.0	1.0236031990767194	0.009352781921409894
70.0	1.0252035209430292	0.008900019880348012
100.0	1.024694871839969	0.008257671336446747
