pt	RpO	error
4.0	0.9642271250588907	0.03885952739497814
6.0	0.9739669799984438	0.03284143876076114
7.0	0.9785954604317139	0.03046820567866792
8.0	0.9832258852843954	0.025637631486282852
9.0	0.9856072426487026	0.0240314046787865
10.0	0.9882809742495235	0.02193701034363853
12.0	0.9916309179917108	0.0190616003527673
14.0	0.994392512414115	0.015950586326200954
16.0	0.9968289799794693	0.012492979537641264
20.0	0.9996825663442129	0.008587638351601682
25.0	1.0019556129881972	0.0051240967387917
30.0	1.0034860788721665	0.0040500438246331245
50.0	1.006465268796622	0.010236401870152735
70.0	1.008351878858842	0.014738247945882813
100.0	1.0102734304381928	0.017714257148113713
