pt	ROO	error
4.0	0.9813803616039339	0.033643035000501434
6.0	1.0005798260225733	0.029809051976336966
7.0	1.0079776315375808	0.028082901333651183
8.0	1.0127143064039534	0.027024745076568435
9.0	1.0170977272368835	0.026115795649634427
10.0	1.0207474173476003	0.02536406789707451
12.0	1.0264693383662542	0.02432294274689402
14.0	1.0315324750013208	0.023229248433481547
16.0	1.0352038818035316	0.022667449070490314
20.0	1.0409263404852456	0.021613821073571276
25.0	1.0464805224711835	0.02106145374187692
30.0	1.0491406033295716	0.020237839725658152
50.0	1.0533841705975209	0.01863859794611541
70.0	1.0494599546628522	0.017276692064812492
100.0	1.0370784067475722	0.016988031456984513
