pt	RpO	error
4.0	0.9783956433750426	0.05037872352629896
6.0	0.9798681175662718	0.039647769779127415
7.0	0.9834904452545523	0.03739205394952915
8.0	0.9844877311398341	0.03445330071388271
9.0	0.9849415965042887	0.03290059206877626
10.0	0.9856483153923122	0.03177082249875208
12.0	0.9889029573226651	0.0280713462950429
14.0	0.9898187970592696	0.0255237359096828
16.0	0.9910356473549093	0.02357328344573491
20.0	0.992589479458427	0.02118448477478689
25.0	0.9956986453946765	0.01739100417154956
30.0	0.9971398498341045	0.01523647539134805
50.0	1.0033367268267097	0.010187450328161736
70.0	1.0065539992679553	0.010767742626239507
100.0	1.0101020140748012	0.014678912173991393
