pt	ROO	error
4.0	0.9744610731507626	0.03405456821489644
6.0	0.9952744328215495	0.029936385813288044
7.0	1.0032073604092626	0.028471431514911435
8.0	1.0085625923759949	0.0271838118400047
9.0	1.012697935012308	0.026310963242136387
10.0	1.0166348449921685	0.02546689718638408
12.0	1.0224996044403865	0.02444998682946902
14.0	1.027560104731247	0.023276032593181326
16.0	1.0312716489113594	0.022704004847709784
20.0	1.0376014161516405	0.021659680526902793
25.0	1.0436189849853832	0.020977867457791483
30.0	1.0472640506492814	0.02013941889313923
50.0	1.0508650513988615	0.01829039140957068
70.0	1.046710993052387	0.017019887335068692
100.0	1.0325065899751877	0.01653844627298896
