pt	RpO	error
4.0	0.9809692000734278	0.01781927515889998
6.0	0.9899273185128211	0.01586501322865147
7.0	0.9947962005281865	0.015148882057285911
8.0	0.9974981897757422	0.014385710143924464
9.0	0.9981247621662469	0.014501856703100929
10.0	1.0016903342083792	0.013721623777009605
12.0	1.0051546761181012	0.012791707714372897
14.0	1.007690285839169	0.012249298433341525
16.0	1.008988792590867	0.01204481747578334
20.0	1.0124564654614594	0.011226307368202352
25.0	1.0152921366821082	0.010756363951657882
30.0	1.0260901379769598	0.010411121927833774
50.0	1.0226883558295765	0.009408365333981653
70.0	1.0240973132534987	0.008800402904440119
100.0	1.0234905334843523	0.008153622797420181
