pt	ROO	error
4.0	0.8130476124238449	0.11218519889564918
6.0	0.8623209311501091	0.0927047907145753
7.0	0.8800134481175214	0.08622594153546251
8.0	0.8955295797592654	0.08026795852101148
9.0	0.9078783209020372	0.07589806175227883
10.0	0.9189844950846202	0.07210682840279586
12.0	0.9362278105549924	0.06637698285031207
14.0	0.9500078281883538	0.06219962686761149
16.0	0.9616283858961424	0.05898022646366602
20.0	0.979046678751984	0.05477936440808868
25.0	0.9942224540189993	0.05160934087044027
30.0	1.004335650001605	0.04990430243554993
50.0	1.0213319845506628	0.047526408568222274
70.0	1.0234520635707558	0.04707990841929592
100.0	1.0176923509384341	0.04686994572360176
