pt	ROO	error
4.0	0.9235046151022347	0.07940345826087469
6.0	0.9484970830508169	0.06514705029657243
7.0	0.9576918585338161	0.058786672384321344
8.0	0.9650237535763502	0.05260521340184465
9.0	0.9708026051350579	0.04839270096995897
10.0	0.9760998333110006	0.043813227271326805
12.0	0.9835378333709098	0.03733541514759783
14.0	0.9888923291292423	0.030957840629594825
16.0	0.9928106698320949	0.02551000600774735
20.0	0.9989686100404362	0.01723839072034858
25.0	1.0036494828042064	0.01009969912244099
30.0	1.0069781142023906	0.008007971379294829
50.0	1.0126364528897682	0.02049140900366077
70.0	1.0163019528516288	0.029483087546505016
100.0	1.0198383988266482	0.035466319808307015
