pt	ROO	error
4.0	0.9550951604620569	0.08679493458319316
6.0	0.967362411034586	0.06962523665724667
7.0	0.9701234126035462	0.06497931684269145
8.0	0.9744293184763794	0.059472839001398804
9.0	0.9768084926903027	0.05527636573258648
10.0	0.9789901072061876	0.05194594583513875
12.0	0.9828213586431721	0.046491967990732457
14.0	0.9862785564107807	0.04220627287991722
16.0	0.9898784035579229	0.037746202391950805
20.0	0.9947998700865713	0.03165161522127152
25.0	1.0001665516076013	0.024559943399144222
30.0	1.0049413200145436	0.021497692829191395
50.0	1.0164004087643963	0.024308098108078307
70.0	1.0231600460840349	0.03433282907909865
100.0	1.0263072847614616	0.046608282827762665
