pt	RpO	error
4.0	0.9035876723115959	0.06159107282706949
6.0	0.9248477031224049	0.050966627746630494
7.0	0.9322026676681189	0.04716438836357488
8.0	0.9430282687797111	0.04356410744586084
9.0	0.949310530352473	0.04035666294034859
10.0	0.9551366878804929	0.038033090315574294
12.0	0.9635510856269256	0.03493174171811972
14.0	0.9706218829864127	0.03280507859405366
16.0	0.9775814786365069	0.03064332212952016
20.0	0.9867632558792969	0.028103170019716246
25.0	0.994554155491121	0.02625804991766219
30.0	1.0001333483093129	0.02516868249855764
50.0	1.009482571738505	0.023644061345721817
70.0	1.0107665909111487	0.023502605969239525
100.0	1.0074237019554408	0.023518327474575232
